Gene_ID,Protein_Function,Locus
CA01g02970,Theta class glutathione transferase GSTT1,Pepper1.55ch01:4741623-4744831
CA01g02980,Phosphopentothenoylcysteine decarboxylase%2C putative,Pepper1.55ch01:4751811-4753168
CA01g02990,Xyloglucan galactosyltransferase KATAMARI1%2C putative,Pepper1.55ch01:4755897-4757802
CA01g03000,Detected protein of unknown function,Pepper1.55ch01:4769727-4770444
CA01g03010,Serine/threonine-protein kinase RIO1,Pepper1.55ch01:4772700-4778989
CA01g03020,Unknown protein,Pepper1.55ch01:4815218-4815500
CA01g03030,Pathogenesis related protein-5,Pepper1.55ch01:4850297-4850987
CA01g03040,Pathogenesis related protein-5,Pepper1.55ch01:4852976-4853663
CA01g03050,Thaumatin-like protein,Pepper1.55ch01:4859485-4860178
CA01g03060,Myb,Pepper1.55ch01:4902427-4903759
CA01g03070,UDP-Glc-4-epimerase,Pepper1.55ch01:4913036-4916675
CA01g03080,PREDICTED: CASP-like protein At4g11655 [Vitis vinifera],Pepper1.55ch01:4917715-4918826
CA01g03090,Increased size exclusion limit 1a,Pepper1.55ch01:4919656-4921309
CA01g03100,HSP transcription factor,Pepper1.55ch01:4932525-4933731
CA01g03110,PREDICTED: BON1-associated protein 2-like [Vitis vinifera],Pepper1.55ch01:4941935-4942187
CA01g03120,Detected protein of unknown function,Pepper1.55ch01:4970713-4974719
CA01g03130,Detected protein of unknown function,Pepper1.55ch01:4983267-4986740
CA01g03140,Detected protein of unknown function,Pepper1.55ch01:4991398-4991867
CA01g03150,Replication factor C / DNA polymerase III gamma-tau subunit%2C putative,Pepper1.55ch01:5027546-5029321
CA01g03160,KOM%2C putative,Pepper1.55ch01:5034052-5039970
CA01g03170,PREDICTED: 2S albumin-like [Solanum lycopersicum],Pepper1.55ch01:5041975-5043021
CA01g03180,2S sulfur-rich seed storage protein precursor large subunit%2C putative [Ricinus communis],Pepper1.55ch01:5078184-5079199
CA01g03190,Putative calmodulin binding protein (Fragment),Pepper1.55ch01:5083539-5087848
CA01g03200,Tyrosine-protein kinase Lyn,Pepper1.55ch01:5105927-5109747
CA01g03210,HAP2,Pepper1.55ch01:5146122-5149143
CA01g03220,PREDICTED: protein HAPLESS 2-like [Solanum tuberosum],Pepper1.55ch01:5152556-5153261
CA01g03230,Cytochrome P450,Pepper1.55ch01:5153786-5156113
CA01g03240,GPI transamidase subunit PIG-U,Pepper1.55ch01:5181830-5187959
CA01g03250,Ubiquitin-like superfamily protein%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch01:5198257-5203278
CA01g03260,GRAS family transcription factor,Pepper1.55ch01:5207266-5209303
CA01g03270,PREDICTED: probable (S)-N-methylcoclaurine 3'-hydroxylase isozyme 2-like [Solanum tuberosum],Pepper1.55ch01:5209979-5211064
CA01g03280,(S)-N-methylcoclaurine 3'-hydroxylase isozyme%2C putative,Pepper1.55ch01:5211539-5213085
CA01g03290,(S)-N-methylcoclaurine 3'-hydroxylase isozyme%2C putative,Pepper1.55ch01:5216630-5218293
CA01g03300,PREDICTED: acetylornithine aminotransferase%2C mitochondrial-like [Solanum tuberosum],Pepper1.55ch01:5219346-5219679
CA01g03310,Cytochrome P450,Pepper1.55ch01:5220512-5222267
CA01g03320,Cytochrome P450,Pepper1.55ch01:5223201-5224878
CA01g03330,Acetylornithine aminotransferase%2C putative,Pepper1.55ch01:5227905-5232057
CA01g03340,F-box family protein,Pepper1.55ch01:5250781-5253524
CA01g03350,PREDICTED: lysophospholipid acyltransferase 2-like [Solanum tuberosum],Pepper1.55ch01:5260376-5268393
CA01g03360,BAG-domain protein 1 / regulator of cell death,Pepper1.55ch01:5281232-5283508
CA01g03370,Multidrug and toxin extrusion protein,Pepper1.55ch01:5294874-5296266
CA01g03380,Hexose transporter 1,Pepper1.55ch01:5301895-5304801
CA01g03390,Detected protein of unknown function,Pepper1.55ch01:5351308-5351997
CA01g03400,Orf315 protein,Pepper1.55ch01:5353508-5353799
CA01g03410,Dehydration-responsive element-binding protein 1B%2C putative,Pepper1.55ch01:5361391-5362580
CA01g03420,Detected protein of unknown function,Pepper1.55ch01:5385093-5385900
CA01g03430,Adenosine 3'-phospho 5'-phosphosulfate transporter,Pepper1.55ch01:5397580-5401035
CA01g03440,Detected protein of unknown function,Pepper1.55ch01:5413362-5418214
CA01g03450,At1g64810,Pepper1.55ch01:5418987-5420427
CA01g03460,PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-B-like [Cucumis sativus],Pepper1.55ch01:5426894-5430250
CA01g03470,Pentatricopeptide repeat-containing protein,Pepper1.55ch01:5438067-5439753
CA01g03480,DNA-directed RNA polymerase,Pepper1.55ch01:5473721-5475491
CA01g03490,DNA-directed RNA polymerase,Pepper1.55ch01:5483293-5483488
CA01g03500,DNA-directed RNA polymerase,Pepper1.55ch01:5524663-5527761
CA01g03510,Photosystem I P700 chlorophyll a apoprotein A1,Pepper1.55ch01:5530374-5530821
CA01g03520,PREDICTED: SPX domain-containing membrane protein At4g22990-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:5548536-5556681
CA01g03530,PREDICTED: protein HOTHEAD-like [Solanum tuberosum],Pepper1.55ch01:5561013-5564603
CA01g03540,PREDICTED: molybdenum cofactor sulfurase-like [Fragaria vesca] subsp. vesca,Pepper1.55ch01:5571080-5572919
CA01g03550,Hydroxymethylglutaryl-CoA synthase,Pepper1.55ch01:5581681-5585805
CA01g03560,TCP transcription factor 20,Pepper1.55ch01:5603904-5605000
CA01g03570,NAD dependent epimerase/dehydratase%2C putative,Pepper1.55ch01:5610958-5613256
CA01g03580,Phospholipase D,Pepper1.55ch01:5623121-5628997
CA01g03590,Homeobox 2 protein,Pepper1.55ch01:5636667-5641777
CA01g03600,PREDICTED: protein FAM63B-like [Solanum tuberosum],Pepper1.55ch01:5648451-5651570
CA01g03610,Unknown protein,Pepper1.55ch01:5715781-5716036
CA01g03620,Green flesh protein,Pepper1.55ch01:5761314-5762777
CA01g03630,Cell cycle switch 52A,Pepper1.55ch01:5765383-5770316
CA01g03640,Detected protein of unknown function,Pepper1.55ch01:5794466-5795411
CA01g03650,Alpha-expansin 7%2C putative,Pepper1.55ch01:5800439-5802073
CA01g03660,PREDICTED: PGR5-like protein 1A%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch01:5804239-5809899
CA01g03670,Anthocyanin synthase,Pepper1.55ch01:5813184-5814639
CA01g03680,Glycerate dehydrogenase%2C putative,Pepper1.55ch01:5815275-5817741
CA01g03690,PR-6 proteinase inhibitor family protein [Arabidopsis thaliana],Pepper1.55ch01:5829861-5830140
CA01g03700,PR-6 proteinase inhibitor family protein [Arabidopsis thaliana],Pepper1.55ch01:5844080-5844365
CA01g03710,Xylem serine proteinase 1%2C putative,Pepper1.55ch01:5906642-5908868
CA01g03720,PREDICTED: dentin sialophosphoprotein-like [Solanum tuberosum],Pepper1.55ch01:5910279-5912774
CA01g03730,Detected protein of unknown function,Pepper1.55ch01:5919531-5920113
CA01g03740,Xylem serine proteinase 1%2C putative,Pepper1.55ch01:5920173-5920740
CA01g03750,Subtilisin-like protease,Pepper1.55ch01:5924301-5926578
CA01g03760,Subtilisin-like protease,Pepper1.55ch01:5928196-5930416
CA01g03770,Serine protease,Pepper1.55ch01:5933937-5934792
CA01g03780,Subtilisin-like protease,Pepper1.55ch01:5936675-5937185
CA01g03790,Serine protease,Pepper1.55ch01:6096793-6099028
CA01g03800,PREDICTED: subtilisin-like protease-like [Solanum tuberosum],Pepper1.55ch01:6113711-6114392
CA01g03810,subtilisin-like endoprotease precursor [Solanum lycopersicum],Pepper1.55ch01:6114529-6115081
CA01g03820,PREDICTED: subtilisin-like protease-like [Solanum tuberosum],Pepper1.55ch01:6115649-6116297
CA01g03830,PREDICTED: subtilisin-like protease-like [Solanum tuberosum],Pepper1.55ch01:6117959-6120203
CA01g03840,Serine protease,Pepper1.55ch01:6123744-6125982
CA01g03850,Detected protein of confused Function,Pepper1.55ch01:6127400-6129641
CA01g03860,Copper chaperone (Precursor),Pepper1.55ch01:6132224-6134985
CA01g03870,ADP-sugar diphosphatase,Pepper1.55ch01:6135446-6141182
CA01g03880,Detected protein of unknown function,Pepper1.55ch01:6145202-6146304
CA01g03890,Detected protein of unknown function,Pepper1.55ch01:6146541-6148275
CA01g03900,Growth-regulating factor,Pepper1.55ch01:6151363-6153323
CA01g03910,Triose phosphate/phosphate translocator%2C chloroplast%2C putative,Pepper1.55ch01:6155822-6156887
CA01g03920,Blue copper protein precursor%2C putative [Ricinus communis],Pepper1.55ch01:6163585-6164348
CA01g03930,C4-dicarboxylate transporter/malic acid transport family protein,Pepper1.55ch01:6167239-6169438
CA01g03940,PREDICTED: protein TPX2-like isoform X2 [Citrus sinensis],Pepper1.55ch01:6170488-6177609
CA01g03950,Acc synthase%2C putative,Pepper1.55ch01:6204363-6208479
CA01g03960,Leucine-rich repeat transmembrane protein kinase%2C putative,Pepper1.55ch01:6209296-6212029
CA01g03970,PREDICTED: putative late blight resistance protein homolog R1B-16-like [Solanum tuberosum],Pepper1.55ch01:6260951-6263078
CA01g03980,Basic helix-loop-helix DNA-binding superfamily protein isoform 1 [Theobroma cacao],Pepper1.55ch01:6343478-6344756
CA01g03990,serine protease inhibitor%2C potato inhibitor I-type family protein [Arabidopsis lyrata] subsp. lyrata,Pepper1.55ch01:6476078-6476354
CA01g04000,Multidrug resistance pump%2C putative,Pepper1.55ch01:6505834-6507274
CA01g04010,PREDICTED: putative DNA-binding protein ESCAROLA-like [Solanum tuberosum],Pepper1.55ch01:6559312-6560351
CA01g04020,Kinesin heavy chain%2C putative,Pepper1.55ch01:6568202-6585088
CA01g04030,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:6597664-6599131
CA01g04040,PREDICTED: zinc finger A20 and AN1 domain-containing stress-associated protein 7-like [Solanum tuberosum],Pepper1.55ch01:6602751-6603225
CA01g04050,Unknown protein,Pepper1.55ch01:6657201-6657567
CA01g04060,Transposase,Pepper1.55ch01:6697085-6698605
CA01g04070,PREDICTED: transcription factor bHLH35-like [Citrus sinensis],Pepper1.55ch01:6705099-6706242
CA01g04080,PREDICTED: Golgi apparatus membrane protein TVP38-like [Solanum tuberosum],Pepper1.55ch01:6732257-6733992
CA01g04090,PREDICTED: clp protease-related protein At4g12060%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch01:6740005-6744802
CA01g04100,Amino acid binding protein%2C putative,Pepper1.55ch01:6770077-6772573
CA01g04110,Detected protein of unknown function,Pepper1.55ch01:6821908-6824584
CA01g04120,ATP-dependent Clp protease proteolytic subunit,Pepper1.55ch01:6825702-6827809
CA01g04130,Unknown protein,Pepper1.55ch01:6843850-6845221
CA01g04140,Polypeptide with a gag-like domain,Pepper1.55ch01:6848525-6849104
CA01g04150,PREDICTED: uncharacterized N-acetyltransferase p20 [Vitis vinifera],Pepper1.55ch01:6870652-6871216
CA01g04160,Detected protein of unknown function,Pepper1.55ch01:6908245-6909972
CA01g04170,Holocarboxylase synthetase 1,Pepper1.55ch01:6910459-6911443
CA01g04180,PREDICTED: glycine-rich cell wall structural protein 1-like [Solanum tuberosum],Pepper1.55ch01:6918258-6918666
CA01g04190,PREDICTED: putative F-box protein At3g25750-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:6942306-6942726
CA01g04200,Sterol-4-methyl-oxidase,Pepper1.55ch01:6996388-7000766
CA01g04210,PREDICTED: protein SPT2 homolog [Solanum tuberosum],Pepper1.55ch01:7002659-7003526
CA01g04220,F5O11.10 isoform 3 [Theobroma cacao],Pepper1.55ch01:7040381-7042142
CA01g04230,DNA photolyase%2C putative,Pepper1.55ch01:7058198-7063575
CA01g04240,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:7073138-7074011
CA01g04250,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:7075720-7076777
CA01g04260,Alternative oxidase,Pepper1.55ch01:7100480-7100867
CA01g04270,PREDICTED: putative F-box protein At3g25750-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:7112975-7113410
CA01g04280,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:7115241-7116287
CA01g04290,Plant sec1%2C putative,Pepper1.55ch01:7118227-7129286
CA01g04300,PREDICTED: ABC transporter C family member 4-like [Vitis vinifera],Pepper1.55ch01:7205213-7205498
CA01g04310,Detected protein of unknown function,Pepper1.55ch01:7209446-7210865
CA01g04320,glycine-rich family protein [Populus trichocarpa],Pepper1.55ch01:7231266-7233290
CA01g04330,Class I peptide chain release factor,Pepper1.55ch01:7234783-7235137
CA01g04340,Detected protein of unknown function,Pepper1.55ch01:7245778-7246917
CA01g04350,Aminomethyltransferase,Pepper1.55ch01:7270085-7273699
CA01g04360,Pentatricopeptide repeat-containing protein,Pepper1.55ch01:7276266-7278207
CA01g04370,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:7310535-7312422
CA01g04380,Phosphoribosylformylglycinamidine cyclo-ligase,Pepper1.55ch01:7313226-7318360
CA01g04390,Leucine rich repeat receptor kinase%2C putative,Pepper1.55ch01:7322007-7326032
CA01g04400,Polyadenylate-binding protein%2C putative,Pepper1.55ch01:7351435-7352392
CA01g04410,PREDICTED: polyadenylate-binding protein 7-like [Citrus sinensis],Pepper1.55ch01:7353637-7354635
CA01g04420,Metallo-hydrolase/oxidoreductase superfamily protein isoform 1 [Theobroma cacao],Pepper1.55ch01:7355493-7356456
CA01g04430,UDP-D-glucuronate 4-epimerase 4,Pepper1.55ch01:7358891-7359965
CA01g04440,Cytochrome P450%2C putative,Pepper1.55ch01:7396378-7398329
CA01g04450,Cytochrome P450,Pepper1.55ch01:7398343-7398985
CA01g04460,PREDICTED: cytochrome P450 93A1-like [Solanum lycopersicum],Pepper1.55ch01:7403120-7405689
CA01g04470,PREDICTED: flavonoid 3'-monooxygenase-like [Solanum tuberosum],Pepper1.55ch01:7412135-7414397
CA01g04480,PREDICTED: flavonoid 3'-monooxygenase-like [Solanum tuberosum],Pepper1.55ch01:7416219-7418570
CA01g04490,PREDICTED: cytochrome P450 93A1-like [Solanum tuberosum],Pepper1.55ch01:7420933-7422882
CA01g04500,PREDICTED: cytochrome P450 93A1-like [Solanum tuberosum],Pepper1.55ch01:7424880-7425484
CA01g04510,PREDICTED: flavonoid 3'-monooxygenase-like [Solanum tuberosum],Pepper1.55ch01:7426157-7429660
CA01g04520,PREDICTED: cytochrome P450 93A1-like [Solanum lycopersicum],Pepper1.55ch01:7431069-7433816
CA01g04530,RNase H family protein,Pepper1.55ch01:7442921-7443548
CA01g04540,PREDICTED: flavonoid 3'-monooxygenase-like [Solanum tuberosum],Pepper1.55ch01:7444385-7446530
CA01g04550,MYB transcription factor ODO1,Pepper1.55ch01:7466913-7469076
CA01g04560,Hsp70-interacting protein 1,Pepper1.55ch01:7501688-7504998
CA01g04570,PREDICTED: lipid transfer-like protein VAS-like [Solanum tuberosum],Pepper1.55ch01:7515748-7518276
CA01g04580,PREDICTED: spindle assembly checkpoint component MAD1-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:7547015-7551498
CA01g04590,PREDICTED: 21 kDa protein-like [Solanum lycopersicum],Pepper1.55ch01:7555922-7556558
CA01g04600,Retrotransposon gag protein,Pepper1.55ch01:7563077-7564783
CA01g04610,PREDICTED: 14 kDa proline-rich protein DC2.15-like [Solanum lycopersicum],Pepper1.55ch01:7601322-7601739
CA01g04620,PREDICTED: 14 kDa proline-rich protein DC2.15-like [Solanum lycopersicum],Pepper1.55ch01:7631209-7636375
CA01g04630,Zinc finger protein%2C putative,Pepper1.55ch01:7738478-7740448
CA01g04640,ATSCO1/ATSCO1/CPEF-G,Pepper1.55ch01:7756414-7762089
CA01g04650,RHOMBOID-like protein 14 isoform 1 [Theobroma cacao],Pepper1.55ch01:7768371-7769376
CA01g04660,Detected protein of unknown function,Pepper1.55ch01:7798952-7799306
CA01g04670,Detected protein of unknown function,Pepper1.55ch01:7799422-7799764
CA01g04680,Heat shock protein 70 (HSP70)-interacting protein%2C putative,Pepper1.55ch01:7804527-7808965
CA01g04690,Putative preprolegumain,Pepper1.55ch01:7822276-7827213
CA01g04700,PREDICTED: auxin-induced protein X10A-like [Solanum tuberosum],Pepper1.55ch01:7831354-7831819
CA01g04710,Beta-1%2C3-N-Acetylglucosaminyltransferase family protein%2C putative [Theobroma cacao],Pepper1.55ch01:7837363-7837732
CA01g04720,PREDICTED: auxin-induced protein X10A-like [Solanum tuberosum],Pepper1.55ch01:7856579-7856936
CA01g04730,WW domain-containing protein (Fragment),Pepper1.55ch01:7896532-7901332
CA01g04740,NAC domain protein%2C IPR003441,Pepper1.55ch01:7970797-7973705
CA01g04750,PREDICTED: thylakoid lumenal protein At1g12250%2C chloroplastic-like isoform 1 [Solanum lycopersicum],Pepper1.55ch01:7982166-7983455
CA01g04760,Thylakoid lumenal protein,Pepper1.55ch01:7986199-7999853
CA01g04770,Axial regulator YABBY1%2C putative,Pepper1.55ch01:8012757-8015840
CA01g04780,Monocopper oxidase-like protein SKU5,Pepper1.55ch01:8091875-8095533
CA01g04790,Invertase,Pepper1.55ch01:8134611-8138782
CA01g04800,Transaldolase ToTAL2,Pepper1.55ch01:8142798-8149683
CA01g04810,Trehalose-6-phosphate synthase%2C putative,Pepper1.55ch01:8151065-8153345
CA01g04820,Detected protein of unknown function,Pepper1.55ch01:8175021-8175912
CA01g04830,Catalytic%2C putative,Pepper1.55ch01:8180178-8181504
CA01g04840,Catalytic%2C putative,Pepper1.55ch01:8182458-8183796
CA01g04850,Detected protein of unknown function,Pepper1.55ch01:8196249-8199265
CA01g04860,F-box/FBD/LRR-repeat protein,Pepper1.55ch01:8217939-8219491
CA01g04870,PREDICTED: adenine phosphoribosyltransferase 1%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch01:8374322-8380045
CA01g04880,Detected protein of unknown function,Pepper1.55ch01:8383869-8384736
CA01g04890,OSBP(oxysterol binding protein)-related protein 2A isoform 1 [Theobroma cacao],Pepper1.55ch01:8472281-8481819
CA01g04900,Nitrate transporter,Pepper1.55ch01:8502471-8507198
CA01g04910,RNase H family protein,Pepper1.55ch01:8541347-8541752
CA01g04920,Retrotransposon like protein,Pepper1.55ch01:8550416-8550800
CA01g04930,14 kDa proline-rich protein DC2.15%2C putative [Theobroma cacao],Pepper1.55ch01:8562604-8563017
CA01g04940,PREDICTED: 14 kDa proline-rich protein DC2.15-like [Solanum lycopersicum],Pepper1.55ch01:8615050-8615567
CA01g04950,PREDICTED: 14 kDa proline-rich protein DC2.15-like [Solanum tuberosum],Pepper1.55ch01:8621900-8622296
CA01g04960,Pectinesterase,Pepper1.55ch01:8680228-8687067
CA01g04970,Glucosyltransferase%2C putative,Pepper1.55ch01:8692253-8693985
CA01g04980,PREDICTED: putative glucuronosyltransferase PGSIP8-like [Solanum tuberosum],Pepper1.55ch01:8699114-8699327
CA01g04990,cytochrome b6/f complex subunit IV [Ceratophyllum demersum],Pepper1.55ch01:8727529-8727850
CA01g05000,Chaperone protein dnaJ%2C putative,Pepper1.55ch01:8752747-8755859
CA01g05010,Pepsin A%2C putative,Pepper1.55ch01:8798907-8800368
CA01g05020,Sec14p-like phosphatidylinositol transfer family protein isoform 1 [Theobroma cacao],Pepper1.55ch01:8813567-8815739
CA01g05030,Mitochondrial small heat shock protein,Pepper1.55ch01:8875320-8876933
CA01g05040,Sucrose non-fermenting 1-related protein kinase 2 family member,Pepper1.55ch01:8974045-8975000
CA01g05050,Transposase,Pepper1.55ch01:8998676-8998955
CA01g05060,PREDICTED: F-box protein CPR30-like [Solanum tuberosum],Pepper1.55ch01:9207156-9208281
